CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1057605,White Poplar,Populus alba,Populus,Salicaceae,NA,1900,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.790893782047654, 144.92257141425543)",-37.79089378,144.9225714,317080.56,5815352.76
1028440,London Plane,Platanus x acerifolia,Platanus,Platanaceae,62,1900,2/1/00,Mature,6-10 years (>50% canopy),10,NA,Park,30/9/20,"(-37.84544751087332, 144.97904358884796)",-37.84544751,144.9790436,322184.49,5809408.19
1058665,Small-leaved Linden,Tilia cordata,Tilia,Malvaceae,19,2000,29/5/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.798902715216066, 144.96852132025538)",-37.79890272,144.9685213,321146.24,5814552.99
1026352,Variegated Elm,Ulmus minor,Ulmus,Ulmaceae,26,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81160317631319, 144.98355174888286)",-37.81160318,144.9835517,322500.09,5813172.34
1038440,Canary Island Pine,Pinus canariensis,Pinus,Pinaceae,91,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.78240938533976, 144.96019784543748)",-37.78240939,144.9601978,320373.41,5816367.22
1015128,London Plane,Platanus x acerifolia,Platanus,Platanaceae,99,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.79941634390208, 144.94984511347445)",-37.79941634,144.9498451,319503.04,5814460.08
1062959,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,30,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82315454536741, 144.90899528526762)",-37.82315455,144.9089953,315965.16,5811746.22
1017896,London Plane,Platanus x acerifolia,Platanus,Platanaceae,62,1900,2/1/00,Mature,1-5 years (>50% canopy),5,NA,Park,30/9/20,"(-37.80427126215531, 144.95845657330676)",-37.80427126,144.9584566,320273.05,5813937.95
1033349,Mediterranean cypress,Cupressus sempervirens,Cupressus,Cupressaceae,68,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.824634695313065, 144.97580203061725)",-37.8246347,144.975802,321849.18,5811711.53
1063036,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,17,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.825441255935935, 144.90485392344465)",-37.82544126,144.9048539,315606.32,5811484.3
1061377,Kanooka,Tristaniopsis laurina,Tristaniopsis,Myrtaceae,11,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Park,30/9/20,"(-37.80617029244725, 144.94745506820132)",-37.80617029,144.9474551,319309.06,5813706
1059653,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,25,2000,10/10/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.79571215966342, 144.97154714464472)",-37.79571216,144.9715471,321404.98,5814912.82
1063021,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.82509626228154, 144.90545002421018)",-37.82509626,144.90545,315657.93,5811523.76
1062853,Bunya pine,Araucaria bidwillii,Araucaria,Araucariaceae,9,2000,1/1/00,Juvenile,61+ years,80,NA,Park,30/9/20,"(-37.824362648777836, 144.97617006384485)",-37.82436265,144.9761701,321880.92,5811742.42
1024155,Cyprus Plane,Platanus orientalis,Platanus,Platanaceae,22,1900,NA,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81605293763187, 144.95571785206653)",-37.81605294,144.9557179,320060.53,5812625.31
1020777,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,67,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.7874185283331, 144.94298679173406)",-37.78741853,144.9429868,318869.86,5815778.16
1026622,London Plane,Platanus x acerifolia,Platanus,Platanaceae,33,1900,1/1/00,Semi-Mature,6-10 years (>50% canopy),10,NA,Street,30/9/20,"(-37.816064782520314, 144.9834126257184)",-37.81606478,144.9834126,322498.53,5812676.99
1023476,London Plane,Platanus x acerifolia,Platanus,Platanaceae,46,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.80742396969704, 144.95858839383627)",-37.80742397,144.9585884,320292.3,5813588.36
1024619,London Plane,Platanus x acerifolia,Platanus,Platanaceae,28,1900,1/1/00,Semi-Mature,1-5 years (<50% canopy),5,NA,Street,30/9/20,"(-37.81756301871537, 144.95977986697264)",-37.81756302,144.9597799,320421.77,5812465.56
1020213,Elm,Ulmus unknown,Ulmus,Ulmaceae,18,1900,2/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.78527535876212, 144.95956037652064)",-37.78527536,144.9595604,320324.21,5816047.97
1039845,English Elm,Ulmus procera,Ulmus,Ulmaceae,125,1900,1/1/00,Mature,11-20 years,20,NA,Park,30/9/20,"(-37.81193630841469, 144.95525232148182)",-37.81193631,144.9552523,320009.55,5813081.22
1061301,Chinese Elm,Ulmus parvifolia,Ulmus,Ulmaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.82336586757156, 144.95940580069)",-37.82336587,144.9594058,320402.91,5811820.92
1060932,Huntingdon Elm,Ulmus x hollandica,Ulmus,Ulmaceae,28,1900,1/1/00,Semi-Mature,1-5 years (<50% canopy),5,NA,Park,30/9/20,"(-37.79339385943282, 144.91995986582853)",-37.79339386,144.9199599,316856.76,5815070.22
1061468,Golden Honeylocust,Gleditsia triacanthos,Gleditsia,Fabaceae,10,1900,2/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.81075343124623, 144.95730355026072)",-37.81075343,144.9573036,320187.26,5813216.43
1062245,Petticoat or Desert Fan Palm,Washingtonia filifera,Washingtonia,Arecaceae,35,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.81005630127715, 144.97360894472735)",-37.8100563,144.9736089,321621.05,5813325.05
1025134,London Plane,Platanus x acerifolia,Platanus,Platanaceae,25,1900,1/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.815702621704, 144.96547697110856)",-37.81570262,144.965477,320918.78,5812682.94
1028922,English Elm,Ulmus procera,Ulmus,Ulmaceae,92,1900,2/1/00,Mature,6-10 years (<50% canopy),10,NA,Park,30/9/20,"(-37.83375098692607, 144.98038806792258)",-37.83375099,144.9803881,322274.72,5810708.67
1050725,Golden Wattle,Acacia pycnantha,Acacia,Fabaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.77980912553618, 144.95748880543357)",-37.77980913,144.9574888,320128.52,5816650.55
1024627,London Plane,Platanus x acerifolia,Platanus,Platanaceae,53,1900,1/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.81699788289959, 144.9610175242685)",-37.81699788,144.9610175,320529.35,5812530.65
1034142,Canary Island Date Palm,Phoenix canariensis,Phoenix,Arecaceae,79,1900,1/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.83001763129123, 144.98751052414744)",-37.83001763,144.9875105,322892.63,5811136.48
1059142,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,35,2000,6/7/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.79952550662958, 144.93980847988118)",-37.79952551,144.9398085,318619.58,5814428.53
1062240,Jacaranda,Jacaranda mimosifolia,Jacaranda,Bignoniaceae,18,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Park,30/9/20,"(-37.80941587054549, 144.97267913426768)",-37.80941587,144.9726791,321537.65,5813394.34
1063147,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.829874243658516, 144.90047684049438)",-37.82987424,144.9004768,315232.11,5810983.73
1062872,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,9,2000,1/1/00,Juvenile,61+ years,80,NA,Street,30/9/20,"(-37.82267624964473, 144.9110131486588)",-37.82267625,144.9110131,316141.59,5811803.27
1024265,London Plane,Platanus x acerifolia,Platanus,Platanaceae,NA,1900,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.81681965606494, 144.95383970468677)",-37.81681966,144.9538397,319897.06,5812536.61
1029160,Lilly Pilly,Syzygium smithii,Syzygium,Myrtaceae,21,1900,2/1/00,Semi-Mature,6-10 years (<50% canopy),10,NA,Street,30/9/20,"(-37.834358733862366, 144.98070294003008)",-37.83435873,144.9807029,322303.89,5810641.83
1020658,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,54,1900,2/1/00,Mature,31-60 years,60,NA,Street,30/9/20,"(-37.77739185089022, 144.94284751958466)",-37.77739185,144.9428475,318833.11,5816890.51
1021729,London Plane,Platanus x acerifolia,Platanus,Platanaceae,34,1900,2/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.797563227634456, 144.96611582585803)",-37.79756323,144.9661158,320931.2,5814697.02
1060896,English Elm,Ulmus procera,Ulmus,Ulmaceae,11,2000,1/1/00,Juvenile,31-60 years,60,NA,Street,30/9/20,"(-37.79271078459908, 144.9465090674407)",-37.79271078,144.9465091,319192.95,5815197.72
1047915,Bottlebrush,Callistemon unknown,Callistemon,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.78926351768976, 144.94877433997604)",-37.78926352,144.9487743,319384.03,5815584.63
1032823,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,33,1900,2/1/00,Semi-Mature,6-10 years (>50% canopy),10,NA,Park,30/9/20,"(-37.826047579980674, 144.9737862146558)",-37.82604758,144.9737862,321675.15,5811550.9
1058771,Bhutan Cypress,Cupressus torulosa,Cupressus,Cupressaceae,60,2000,6/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.802598542748484, 144.96320017309984)",-37.80259854,144.9632002,320686.65,5814132.68
1020821,Weeping Bottlebrush,Callistemon viminalis,Callistemon,Myrtaceae,43,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.78480225131201, 144.94158490240477)",-37.78480225,144.9415849,318740.01,5816065.76
1033663,Indian Date Palm,Phoenix sylvestris,Phoenix,Arecaceae,46,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.82171539092092, 144.9725789161874)",-37.82171539,144.9725789,321558.45,5812029.32
1038660,English Elm,Ulmus procera,Ulmus,Ulmaceae,79,1900,2/1/00,Mature,6-10 years (<50% canopy),10,NA,Park,30/9/20,"(-37.78137757637976, 144.9614026451944)",-37.78137758,144.9614026,320477.02,5816484.03
1059576,English Elm,Ulmus procera,Ulmus,Ulmaceae,7,2000,10/10/00,Juvenile,1-5 years (<50% canopy),5,NA,Street,30/9/20,"(-37.791914216727264, 144.94513887535592)",-37.79191422,144.9451389,319070.35,5815283.46
1014469,London Plane,Platanus x acerifolia,Platanus,Platanaceae,88,1900,1/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.80280023223781, 144.9510707360215)",-37.80280023,144.9510707,319619.19,5814086.95
1061233,Japanese Zelkova,Zelkova serrata,Zelkova,Ulmaceae,32,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82484386987446, 144.95780941329883)",-37.82484387,144.9578094,320265.98,5811653.84
1059176,Flowering Gum,Corymbia ficifolia,Corymbia,Myrtaceae,15,2000,7/12/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82266784762768, 144.930551044327)",-37.82266785,144.930551,317861.35,5811842.49
1031468,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,41,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.82750759445356, 144.95650268394064)",-37.82750759,144.9565027,320157.43,5811355.74
1063162,London Plane,Platanus x acerifolia,Platanus,Platanaceae,12,1900,2/1/00,Juvenile,<1 year,1,NA,Street,30/9/20,"(-37.824899544502344, 144.94334873915687)",-37.82489954,144.9433487,318993.29,5811619.73
1058810,London Plane,Platanus x acerifolia,Platanus,Platanaceae,22,2000,7/3/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81171147541315, 144.96423503509035)",-37.81171148,144.964235,320799.8,5813123.44
1043501,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79210396488812, 144.94953147466518)",-37.79210396,144.9495315,319457.62,5815270.9
1061591,London Plane,Platanus x acerifolia,Platanus,Platanaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.814844327329936, 144.9684146060995)",-37.81484433,144.9684146,321175.31,5812783.81
1041805,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79500845003944, 144.9523901162602)",-37.79500845,144.9523901,319716.41,5814954.12
1058763,English Elm,Ulmus procera,Ulmus,Ulmaceae,23,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.80595918704277, 144.9644130085792)",-37.80595919,144.964413,320801.56,5813762.09
1043070,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.793472448957495, 144.9512688495476)",-37.79347245,144.9512688,319613.94,5815122.4
1019782,Golden Honeylocust,Gleditsia triacanthos,Gleditsia,Fabaceae,21,1900,2/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.794782396224655, 144.9568034637019)",-37.7947824,144.9568035,320104.48,5814987.71
1050733,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.779731393365765, 144.95791207137668)",-37.77973139,144.9579121,320165.61,5816659.99
1025733,Moptop,Robinia pseudoacacia,Robinia,Fabaceae,31,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.80844377585652, 144.97553946611308)",-37.80844378,144.9755395,321787.13,5813507.67
1062306,Firewheel Tree,Stenocarpus sinuatus,Stenocarpus,Proteaceae,5,2000,1/1/00,Juvenile,31-60 years,60,NA,Park,30/9/20,"(-37.833318060764235, 144.9780359212982)",-37.83331806,144.9780359,322066.67,5810752.23
1024434,London Plane,Platanus x acerifolia,Platanus,Platanaceae,53,1900,1/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81838735086839, 144.96466564363283)",-37.81838735,144.9646656,320853.85,5812383.47
1063539,London Plane,Platanus x acerifolia,Platanus,Platanaceae,20,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.79661718616759, 144.93047717737733)",-37.79661719,144.9304772,317790.81,5814733.1
1063062,Flowering Gum,Corymbia ficifolia,Corymbia,Myrtaceae,12,2000,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.8260673514148, 144.90384449698576)",-37.82606735,144.9038445,315519.03,5811412.83
1022087,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,33,1900,2/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.79517142935329, 144.9660700185293)",-37.79517143,144.96607,320921.39,5814962.34
1025181,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,21,1900,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.816612777126984, 144.96037038692558)",-37.81661278,144.9603704,320471.45,5812572.14
1016047,Golden Honeylocust,Gleditsia triacanthos,Gleditsia,Fabaceae,22,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.801341864814646, 144.95336163653923)",-37.80134186,144.9533616,319817.35,5814253.2
1030559,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,46,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.826523063174484, 144.95788945727514)",-37.82652306,144.9578895,320277.1,5811467.66
1032286,Pyramid Tree,Lagunaria patersonia,Lagunaria,Malvaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.829141569078274, 144.97224636047963)",-37.82914157,144.9722464,321547.07,5811204.63
1062992,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,15,2000,1/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.82431831431681, 144.90675387309807)",-37.82431831,144.9067539,315770.76,5811612.66
1062167,Jacaranda,Jacaranda mimosifolia,Jacaranda,Bignoniaceae,9,1900,2/1/00,Juvenile,61+ years,80,NA,Park,30/9/20,"(-37.810207969722434, 144.97320053589024)",-37.81020797,144.9732005,321585.46,5813307.44
1036576,Jacaranda,Jacaranda mimosifolia,Jacaranda,Bignoniaceae,66,1900,1/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.80129311826385, 144.97389504452022)",-37.80129312,144.973895,321625.15,5814298.01
1023130,London Plane,Platanus x acerifolia,Platanus,Platanaceae,13,1900,2/1/00,Semi-Mature,6-10 years (>50% canopy),10,NA,Street,30/9/20,"(-37.804076532166256, 144.96635818233665)",-37.80407653,144.9663582,320968.27,5813974.73
1057654,Peppercorn Tree,Schinus molle,Schinus,Anacardiaceae,113,1900,1/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.79154676544906, 144.92146783901114)",-37.79154677,144.9214678,316984.99,5815278.14
1057667,`Rosea¿ Red Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,14,1900,1/1/00,Semi-Mature,1-5 years (<50% canopy),5,NA,Park,30/9/20,"(-37.791292480361605, 144.92224046511782)",-37.79129248,144.9222405,317052.4,5815307.87
1061706,Smooth-barked apple,Angophora costata,Angophora,Myrtaceae,34,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.800932607406565, 144.943046328872)",-37.80093261,144.9430463,318908.11,5814278.67
1063183,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,24,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82510529107394, 144.94360206003415)",-37.82510529,144.9436021,319016.09,5811597.39
1043083,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.792661599816654, 144.9507888533336)",-37.7926616,144.9507889,319569.7,5815211.45
1059924,London Plane,Platanus x acerifolia,Platanus,Platanaceae,6,1900,2/1/00,Juvenile,11-20 years,20,NA,Street,30/9/20,"(-37.803925852377446, 144.93319507910584)",-37.80392585,144.9331951,318048.07,5813927.38
1024440,London Plane,Platanus x acerifolia,Platanus,Platanaceae,25,1900,1/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.81639552176703, 144.96426653054147)",-37.81639552,144.9642665,320813.9,5812603.73
1063736,Lilly Pilly,Syzygium smithii,Syzygium,Myrtaceae,51,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.78323518670814, 144.90775837669173)",-37.78323519,144.9077584,315757.09,5816173.51
1019663,Maidenhair Tree,Ginkgo biloba,Ginkgo,Ginkgoaceae,12,1900,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.79340261768996, 144.95640437520635)",-37.79340262,144.9564044,320065.99,5815140.05
1063027,Rose sheoak,Allocasuarina torulosa,Allocasuarina,Casuarinaceae,29,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.825150262012365, 144.9052839894239)",-37.82515026,144.905284,315643.45,5811517.44
1063554,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,26,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.799567193016316, 144.92727048532905)",-37.79956719,144.9272705,317515.71,5814399.49
1043953,Varnish Wattle,Acacia verniciflua,Acacia,Fabaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.792031327556195, 144.94903449848894)",-37.79203133,144.9490345,319413.68,5815278
1051057,Desert Ash,Fraxinus angustifolia,Fraxinus,Oleaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.77905267987358, 144.95450829520016)",-37.77905268,144.9545083,319864.18,5816728.75
1057316,Olive,Olea europea subsp. europea,Olea,Oleaceae,3,1900,2/1/00,Juvenile,61+ years,80,NA,Park,30/9/20,"(-37.79122684540203, 144.9242420725613)",-37.79122685,144.9242421,317228.5,5815319.07
1021541,Purple-leafed Cherry Plum,Prunus cerasifera,Prunus,Rosaceae,40,1900,1/1/00,Mature,6-10 years (>50% canopy),10,NA,Street,30/9/20,"(-37.80026316459226, 144.9737067189156)",-37.80026316,144.9737067,321606.09,5814411.94
1031924,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.83242911819244, 144.97635618941337)",-37.83242912,144.9763562,321916.7,5810847.67
1016216,Crows Nest Poplar,Populus x euramericana x nigra,Populus,Salicaceae,13,1900,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.80217485094603, 144.95658067012263)",-37.80217485,144.9565807,320102.8,5814166.97
1034867,English Elm,Ulmus procera,Ulmus,Ulmaceae,56,1900,2/1/00,Mature,1-5 years (<50% canopy),5,NA,Park,30/9/20,"(-37.84499049608743, 144.98151573850916)",-37.8449905,144.9815157,322400.93,5809463.61
1062815,Elm,Ulmus unknown,Ulmus,Ulmaceae,136,2000,1/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.82854842939723, 144.98800014030058)",-37.82854843,144.9880001,322932.21,5811300.44
1051089,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.777641524356895, 144.95551533765772)",-37.77764152,144.9555153,319949.45,5816887.28
1024526,London Plane,Platanus x acerifolia,Platanus,Platanaceae,NA,1900,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.814775562430015, 144.9605947557275)",-37.81477556,144.9605948,320486.75,5812776.44
1063373,Peppercorn Tree,Schinus molle,Schinus,Anacardiaceae,22,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.796509195746886, 144.9353734514175)",-37.7965092,144.9353735,318221.68,5814754.62
1020600,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,15,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.77795919508006, 144.95946001240458)",-37.7779592,144.95946,320297.65,5816859.62
1020571,Manchurian Pear,Pyrus ussuriensis,Pyrus,Rosaceae,NA,1900,2/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.788082665427865, 144.94161821461716)",-37.78808267,144.9416182,318750.96,5815701.81
1030040,Lilly Pilly,Syzygium smithii,Syzygium,Myrtaceae,37,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.824337081717154, 144.96419089359807)",-37.82433708,144.9641909,320826.45,5811722.34
1061710,Smooth-barked apple,Angophora costata,Angophora,Myrtaceae,33,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.80163746502582, 144.94277054798175)",-37.80163747,144.9427705,318885.55,5814199.92
1047913,Bottlebrush,Callistemon unknown,Callistemon,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.78924878545014, 144.94883913371407)",-37.78924879,144.9488391,319389.7,5815586.39
1062984,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,9,2000,1/1/00,Juvenile,31-60 years,60,NA,Street,30/9/20,"(-37.82412746913172, 144.90718598083717)",-37.82412747,144.907186,315808.32,5811634.69
1060931,Huntingdon Elm,Ulmus x hollandica,Ulmus,Ulmaceae,NA,1900,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79337116141364, 144.91997072302775)",-37.79337116,144.9199707,316857.66,5815072.76
1047036,Bangalay,Eucalyptus botryoides,Eucalyptus,Myrtaceae,NA,1900,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.7886899075274, 144.95706407210488)",-37.78868991,144.9570641,320112.65,5815664.27
1038596,English Elm,Ulmus procera,Ulmus,Ulmaceae,81,1900,2/1/00,Mature,11-20 years,20,NA,Park,30/9/20,"(-37.78110111925904, 144.96228941138963)",-37.78110112,144.9622894,320554.45,5816516.41
1040022,Cook pine,Araucaria columnaris,Araucaria,Araucariaceae,76,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.814955494427124, 144.9752190235494)",-37.81495549,144.975219,321774.58,5812784.48
1018258,London Plane,Platanus x acerifolia,Platanus,Platanaceae,84,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.79569917608429, 144.94187334499134)",-37.79569918,144.9418733,318792.04,5814857.13
1034135,Canary Island Date Palm,Phoenix canariensis,Phoenix,Arecaceae,72,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.82940796574055, 144.98690321097885)",-37.82940797,144.9869032,322837.72,5811202.98
1027385,Elm,Ulmus unknown,Ulmus,Ulmaceae,116,1900,2/1/00,Over-mature,11-20 years,20,NA,Park,30/9/20,"(-37.826814968895015, 144.98407787901243)",-37.82681497,144.9840779,322582.84,5811485.35
1043142,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79262200143654, 144.95079710183347)",-37.792622,144.9507971,319570.33,5815215.86
1040176,Canary Island Date Palm,Phoenix canariensis,Phoenix,Arecaceae,65,1900,1/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.81328733973455, 144.97564968279448)",-37.81328734,144.9756497,321808.48,5812970.41
1066422,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,34,1900,1/1/00,Semi-Mature,61+ years,80,NA,Park,30/9/20,"(-37.82624448077073, 144.9810460640292)",-37.82624448,144.9810461,322314.62,5811542.89
1016263,Snow-in-Summer,Melaleuca linariifolia,Melaleuca,Myrtaceae,50,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.8037367789842, 144.9574538559754)",-37.80373678,144.9574539,320183.47,5813995.33
1022168,English Elm,Ulmus procera,Ulmus,Ulmaceae,NA,1900,2/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.79554516713393, 144.9647044703761)",-37.79554517,144.9647045,320802.05,5814918.25
1043473,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79194802658272, 144.949783120203)",-37.79194803,144.9497831,319479.4,5815288.69
1015452,Red Flowering Yellow Gum,Eucalyptus leucoxylon,Eucalyptus,Myrtaceae,18,1900,2/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.79793400389374, 144.9482309380709)",-37.797934,144.9482309,319357.3,5814621.45
1020424,Chinaberry Tree,Melia azedarach,Melia,Meliaceae,19,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.78172515815564, 144.95816649248255)",-37.78172516,144.9581665,320192.85,5816439.24
1019913,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,20,1900,1/1/00,Semi-Mature,61+ years,80,NA,Street,30/9/20,"(-37.79269711821192, 144.9570295527965)",-37.79269712,144.9570296,320119.33,5815219.54
