CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1063863,Sugar gum,Eucalyptus cladocalyx,Eucalyptus,Myrtaceae,NA,2000,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.777912052017875, 144.95746801941473)",-37.77791205,144.957468,320122.09,5816861.02
1022158,English Elm,Ulmus procera,Ulmus,Ulmaceae,NA,1900,2/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.79627974893909, 144.9647949231744)",-37.79627975,144.9647949,320811.79,5814836.91
1060996,Red Oak,Quercus rubra,Quercus,Fagaceae,7,1900,1/1/00,Juvenile,31-60 years,60,NA,Street,30/9/20,"(-37.8255040660023, 144.96866013200085)",-37.82550407,144.9686601,321222.65,5811601.41
1063051,Coastal Banksia,Banksia integrifolia,Banksia,Proteaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.825674158290695, 144.9043448335275)",-37.82567416,144.9043448,315562.09,5811457.45
1057479,Unknown,Populus simonii,Populus,Salicaceae,NA,1900,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79192903175579, 144.92210555190445)",-37.79192903,144.9221056,317042.09,5815236.97
1038583,Desert Ash,Fraxinus angustifolia,Fraxinus,Oleaceae,58,1900,2/1/00,Mature,21-30 years,30,NA,Park,30/9/20,"(-37.781822524677104, 144.96122248647237)",-37.78182252,144.9612225,320462.23,5816434.31
1058537,Chinese Parasol Tree,Firmiana simplex,Firmiana,Malvaceae,46,1900,2/1/00,Mature,11-20 years,20,NA,Park,30/9/20,"(-37.81121533155709, 144.95484545541083)",-37.81121533,144.9548455,319971.98,5813160.44
1024426,London Plane,Platanus x acerifolia,Platanus,Platanaceae,60,1900,1/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81908066017902, 144.96228140205812)",-37.81908066,144.9622814,320645.65,5812301.96
1030558,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,46,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.82643477732266, 144.95799505211167)",-37.82643478,144.9579951,320286.18,5811477.66
1049926,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.7913404211471, 144.94832716538318)",-37.79134042,144.9483272,319349.71,5815353.3
1024594,London Plane,Platanus x acerifolia,Platanus,Platanaceae,53,1900,1/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.81856525790846, 144.9600371823749)",-37.81856526,144.9600372,320446.85,5812354.84
1041970,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79461934702414, 144.95192513855866)",-37.79461935,144.9519251,319674.52,5814996.4
1052478,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,56,1900,1/1/00,Semi-Mature,31-60 years,60,NA,Park,30/9/20,"(-37.79890122445131, 144.9260777590638)",-37.79890122,144.9260778,317409.05,5814471.06
1040972,Dutch Elm,Ulmus x hollandica,Ulmus,Ulmaceae,35,1900,2/1/00,Semi-Mature,1-5 years (<50% canopy),5,NA,Park,30/9/20,"(-37.785156933083556, 144.96461695351118)",-37.78515693,144.964617,320769.24,5816070.82
1022181,English Elm,Ulmus procera,Ulmus,Ulmaceae,79,1900,2/1/00,Mature,6-10 years (<50% canopy),10,NA,Street,30/9/20,"(-37.79393819026238, 144.96477775942202)",-37.79393819,144.9647778,320804.62,5815096.71
1023122,London Plane,Platanus x acerifolia,Platanus,Platanaceae,18,1900,2/1/00,Semi-Mature,6-10 years (>50% canopy),10,NA,Street,30/9/20,"(-37.80373383475275, 144.96642198732553)",-37.80373383,144.966422,320973.06,5814012.88
1063858,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,NA,2000,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.778362111191434, 144.95601401882507)",-37.77836211,144.956014,319995.12,5816808.28
1034886,English Elm,Ulmus procera,Ulmus,Ulmaceae,63,1900,2/1/00,Mature,11-20 years,20,NA,Park,30/9/20,"(-37.84526021169939, 144.9836187286984)",-37.84526021,144.9836187,322586.63,5809437.68
1037328,Brittle Gum,Eucalyptus mannifera,Eucalyptus,Myrtaceae,62,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.81178309435551, 144.98673002347655)",-37.81178309,144.98673,322780.32,5813158.41
1043558,Varnish Wattle,Acacia verniciflua,Acacia,Fabaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79198413803122, 144.94920194221632)",-37.79198414,144.9492019,319428.31,5815283.56
